Recovery Period,Q1_3,Q1_5,Q1_7,Q1_10,Q1_15,Q1_20,Q2_3,Q2_5,Q2_7,Q2_10,Q2_15,Q2_20,Q3_3,Q3_5,Q3_7,Q3_10,Q3_15,Q3_20,Q4_3,Q4_5,Q4_7,Q4_10,Q4_15,Q4_20
1,0.5833,0.35,0.25,0.175,0.0875,0.06563,0.4167,0.25,0.1785,0.125,0.0625,0.04688,0.25,0.15,0.1071,0.075,0.0375,0.02813,0.0833,0.05,0.0357,0.025,0.0125,0.00938
2,0.2778,0.26,0.2143,0.165,0.0913,0.07,0.3889,0.3,0.2347,0.175,0.0938,0.07148,0.5,0.34,0.2551,0.185,0.0963,0.07289,0.6111,0.38,0.2755,0.195,0.0988,0.0743
3,0.1235,0.156,0.1531,0.132,0.0821,0.06482,0.1414,0.18,0.1676,0.14,0.0844,0.06612,0.1667,0.204,0.1822,0.148,0.0866,0.06742,0.2037,0.228,0.1968,0.156,0.0889,0.06872
4,0.0154,0.1101,0.1093,0.1056,0.0739,0.05996,0.053,0.1137,0.1197,0.112,0.0759,0.06116,0.0833,0.1224,0.1302,0.1184,0.078,0.06237,0.1019,0.1368,0.1406,0.1248,0.08,0.06357
5,0,0.1101,0.0875,0.0845,0.0665,0.05546,0,0.1137,0.0887,0.0896,0.0683,0.05658,0,0.113,0.093,0.0947,0.0702,0.05769,0,0.1094,0.1004,0.0998,0.072,0.0588
6,0,0.0138,0.0874,0.0676,0.0599,0.0513,0,0.0426,0.0887,0.0717,0.0615,0.05233,0,0.0706,0.0885,0.0758,0.0631,0.05336,0,0.0958,0.0873,0.0799,0.0648,0.05439
7,0,0,0.0875,0.0655,0.059,0.04746,0,0,0.0887,0.0655,0.0591,0.04841,0,0,0.0886,0.0655,0.059,0.04936,0,0,0.0873,0.0655,0.059,0.05031
8,0,0,0.0109,0.0655,0.0591,0.04459,0,0,0.0334,0.0655,0.059,0.04478,0,0,0.0553,0.0655,0.059,0.04566,0,0,0.0764,0.0655,0.059,0.04654
9,0,0,0,0.0656,0.059,0.04459,0,0,0,0.0656,0.0591,0.04463,0,0,0,0.0656,0.0591,0.0446,0,0,0,0.0656,0.059,0.04458
10,0,0,0,0.0655,0.0591,0.04459,0,0,0,0.0655,0.059,0.04463,0,0,0,0.0655,0.059,0.0446,0,0,0,0.0655,0.0591,0.04458
11,0,0,0,0.0082,0.059,0.04459,0,0,0,0.0246,0.0591,0.04463,0,0,0,0.041,0.0591,0.0446,0,0,0,0.0574,0.059,0.04458
12,0,0,0,0,0.0591,0.0446,0,0,0,0,0.059,0.04463,0,0,0,0,0.059,0.0446,0,0,0,0,0.0591,0.04458
13,0,0,0,0,0.059,0.04459,0,0,0,0,0.0591,0.04463,0,0,0,0,0.0591,0.04461,0,0,0,0,0.059,0.04458
14,0,0,0,0,0.0591,0.0446,0,0,0,0,0.059,0.04463,0,0,0,0,0.059,0.0446,0,0,0,0,0.0591,0.04458
15,0,0,0,0,0.059,0.04459,0,0,0,0,0.0591,0.04462,0,0,0,0,0.0591,0.04461,0,0,0,0,0.059,0.04458
16,0,0,0,0,0.0074,0.0446,0,0,0,0,0.0221,0.04463,0,0,0,0,0.0369,0.0446,0,0,0,0,0.0517,0.04458
17,0,0,0,0,0,0.04459,0,0,0,0,0,0.04462,0,0,0,0,0,0.04461,0,0,0,0,0,0.04458
18,0,0,0,0,0,0.0446,0,0,0,0,0,0.04463,0,0,0,0,0,0.0446,0,0,0,0,0,0.04459
19,0,0,0,0,0,0.04459,0,0,0,0,0,0.04462,0,0,0,0,0,0.04461,0,0,0,0,0,0.04458
20,0,0,0,0,0,0.0446,0,0,0,0,0,0.04463,0,0,0,0,0,0.0446,0,0,0,0,0,0.04459
21,0,0,0,0,0,0.00565,0,0,0,0,0,0.01673,0,0,0,0,0,0.02788,0,0,0,0,0,0.03901
