,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,7.434995733033376,0.14523515319633665,0.4448165852228718,0.45251937216478944
1,0,100,1.0,7.470599106472421,0.14523515319633665,0.4448165852228718,0.45251937216478944
2,0,100,4.0,7.524004166630983,0.14523515319633665,0.4448165852228718,0.45251937216478944
3,0,200,2.0,7.541805853350504,0.14523515319633665,0.4448165852228718,0.45251937216478944
4,100,0,0.0,6.979729762877881,0.14317652107076795,0.4606110620402561,0.4696048177543775
5,100,100,1.0,7.014037792920301,0.14317652107076795,0.4606110620402561,0.4696048177543775
6,100,100,4.0,7.065499837983937,0.14317652107076795,0.4606110620402561,0.4696048177543775
7,100,200,2.0,7.0826538530051515,0.14317652107076795,0.4606110620402561,0.4696048177543775
8,250,0,0.0,6.326532856466467,0.14052922645452348,0.4831662265165909,0.49348607507584213
9,250,100,1.0,6.350968111805348,0.14045671248769262,0.48354860785245707,0.49417255294420115
10,250,100,4.0,6.385067997354986,0.14038324796328944,0.4839795433076292,0.49486995829068187
11,250,200,2.0,6.4009771947352485,0.14038347147927951,0.4839795433076292,0.4948678334810323
12,500,0,0.0,5.546220641058592,0.13703182964876917,0.517903044553821,0.5288937496967481
13,500,100,1.0,5.5660655846464335,0.13692168983014524,0.518568424215669,0.5300831119339972
14,500,100,4.0,5.601214250146717,0.13675216101636253,0.5196960645401643,0.5319241549228024
15,500,200,2.0,5.614040561970126,0.13673449057030007,0.5197952774044187,0.5321167788614364
16,750,0,0.0,4.927471674383033,0.13400176040395725,0.5510847088018953,0.56165420982391
17,750,100,1.0,4.941909740429733,0.13385755220293008,0.5518289606681699,0.5630073556365827
18,750,100,4.0,4.934656729249464,0.13361692197244704,0.5532004879375976,0.5652797664137788
19,750,200,2.0,4.94571455802625,0.13358773570559718,0.553362432800828,0.5655566316786225
